N,P,K,pH,EC,OC,Cu,Fe,Mn,Rainfall,Humidity,Temperature,Label
291.5,23.6,610.4,5.4,0.08,0.52,0.49,13.2,3.4,79.32,52.43,17.2549,Apple
301.5,2.8,226.2,6.0,0.05,0.58,0.57,14.4,4.3,56.33,60.69,17.6143,Apple
279.9,12.1,300.1,6.8,0.01,0.41,0.58,13.2,4.3,68.21,68.23,17.6526,Apple
384.8,13.4,162.5,6.4,0.11,0.41,0.51,14.2,3.5,101.26,58.08,20.8086,Apple
379.2,20.2,301.4,6.0,0.14,0.41,0.52,12.1,4.8,83.23,59.33,22.9105,Apple
412.1,7.1,267.1,6.7,0.03,0.52,0.51,13.2,4.5,76.12,60.05,18.6072,Apple
513.5,18.8,229.6,7.0,0.41,0.7,0.54,14.4,4.3,71.64,77.03,22.8907,Apple
312.8,5.9,219.4,6.0,0.21,0.49,0.56,12.3,4.5,80.47,58.16,15.0513,Apple
310.0,29.1,413.8,7.0,0.5,0.56,0.57,13.0,3.5,83.92,76.86,22.7728,Apple
313.1,20.1,301.1,6.8,0.21,0.49,0.51,11.0,4.5,57.17,67.46,18.9462,Apple
279.5,9.8,118.0,6.9,0.02,0.5,0.31,13.4,4.3,67.46,57.18,21.1354,Apple
318.4,4.4,141.8,7.1,0.12,0.39,0.51,12.3,4.2,86.87,54.13,18.7136,Apple
412.8,12.5,218.1,6.5,0.21,0.49,0.42,12.0,4.6,99.77,68.21,18.3794,Apple
212.5,17.8,148.4,6.7,0.21,0.18,0.43,13.1,3.8,86.49,52.81,21.9422,Apple
411.0,13.4,201.2,7.2,0.28,0.59,0.51,13.3,3.5,65.74,55.02,18.7056,Apple
297.1,13.1,219.3,6.8,0.11,0.41,0.54,13.0,4.3,60.21,71.8,21.7794,Apple
278.9,19.4,212.1,7.2,0.11,0.51,0.51,12.1,3.8,75.53,64.28,22.3622,Apple
